frame,rmsd.angstroms
0,3.25981E-06
1,0.576638676
2,0.643024454
3,0.721518543
4,0.754506383
5,0.809604304
6,0.855443573
7,0.945998797
8,0.961516411
9,0.984317754
10,1.029424815
11,1.032976702
12,1.039106733
13,1.059769076
14,1.105396609
15,1.182854349
16,1.176717176
17,1.16936662
18,1.174035565
19,1.182072684
20,1.204183677
21,1.206992992
22,1.164521628
23,1.158480537
24,1.172637896
25,1.163146293
26,1.170148983
27,1.208024807
28,1.245749698
29,1.216304336
30,1.232305951
31,1.200752451
32,1.183055956
33,1.18313773
34,1.20172998
35,1.243846317
36,1.227947811
37,1.247466888
38,1.273001279
39,1.30542253
40,1.330412288
41,1.340714959
42,1.317225216
43,1.333563363
44,1.328530413
45,1.317349589
46,1.326453635
47,1.348290723
48,1.376584492
49,1.394658927
50,1.379436776
51,1.410692991
52,1.396731833
53,1.356094252
54,1.368873171
55,1.383107648
56,1.401757054
57,1.438743284
58,1.451046846
59,1.422137378
60,1.41992862
61,1.440966781
62,1.432749273
63,1.440442999
64,1.455285742
65,1.473263018
66,1.477620393
67,1.503078792
68,1.502643601
69,1.505545574
70,1.475026924
71,1.473730293
72,1.475161163
73,1.460837676
74,1.492536527
75,1.491919263
76,1.474063742
77,1.470071298
78,1.508763791
79,1.523831339
80,1.584069961
81,1.572186008
82,1.567502053
83,1.5753588
84,1.55913277
85,1.571564358
86,1.577166121
87,1.556614866
88,1.573013522
89,1.563976329
90,1.540810806
91,1.550862742
92,1.574702773
93,1.605728715
94,1.625835482
95,1.662267572
96,1.696580304
97,1.725645186
98,1.726615725
99,1.708783544
100,1.682853547
101,1.697072726
102,1.681490996
103,1.668597647
104,1.67876792
105,1.712957091
106,1.730067741
107,1.738609159
108,1.705668217
109,1.71086794
110,1.74428319
111,1.735001617
112,1.706012211
113,1.730692649
114,1.738428688
115,1.738761621
116,1.750831999
117,1.757702538
118,1.779984647
119,1.794979446
120,1.789980014
121,1.80490444
122,1.777379299
123,1.785182118
124,1.794662884
125,1.769519775
126,1.770331015
127,1.78992058
128,1.774697591
129,1.833596343
130,1.845768689
131,1.86799783
132,1.803238244
133,1.7657402
134,1.748926114
135,1.764651863
136,1.785314061
137,1.772671312
138,1.743007617
139,1.744162811
140,1.779376248
141,1.765891986
142,1.795538401
143,1.796307211
144,1.787679123
145,1.828753447
146,1.894813417
147,1.871878888
148,1.828580435
149,1.82542408
150,1.81206516
151,1.801535363
152,1.787527529
153,1.794163625
154,1.774951122
155,1.78854204
156,1.803029066
157,1.761203435
158,1.755233693
159,1.752662508
160,1.733152571
161,1.747480442
162,1.75288105
163,1.726734466
164,1.72957302
165,1.746907072
166,1.794627175
167,1.785193162
168,1.801218306
169,1.784968153
170,1.775866443
171,1.788439663
172,1.814432445
173,1.84492777
174,1.842307346
175,1.885494095
176,1.947833277
177,1.952230915
178,1.930197907
179,1.928111359
180,1.911110733
181,1.930176605
182,2.013970384
183,2.04238775
184,2.03027029
185,2.014063452
186,1.980149724
187,1.924127503
188,1.914244291
189,1.921530663
190,1.946228692
191,1.95590486
192,1.995679573
193,2.008148521
194,2.019086816
195,2.041838547
196,2.057983163
197,1.997872732
198,2.005916921
199,1.992237572
200,2.01513766
201,2.036541129
202,2.06017249
203,2.066811671
204,2.100178117
205,2.158836153
206,2.179570252
207,2.167009051
208,2.13641896
209,2.146643999
210,2.137391628
211,2.140919574
212,2.126698209
213,2.154874851
214,2.139037898
215,2.124530143
216,2.147483271
217,2.112061904
218,2.082035219
219,2.090858901
220,2.116525221
221,2.106024827
222,2.101407857
223,2.145372761
224,2.122771674
225,2.12191093
226,2.11497596
227,2.093180506
228,2.087770303
229,2.044860411
230,2.03518405
231,2.081770487
232,2.112534957
233,2.150106703
234,2.182540397
235,2.203166168
236,2.210654543
237,2.215975365
238,2.209811136
239,2.206851662
240,2.189323575
241,2.198172244
242,2.217352863
243,2.216304923
244,2.227304472
245,2.184913356
246,2.160736541
247,2.175898841
248,2.177520091
249,2.143069153
250,2.155339695
251,2.168786378
252,2.186302017
253,2.217611383
254,2.185877946
255,2.197915535
256,2.179908624
257,2.134824733
258,2.164263169
259,2.14769474
260,2.16317102
261,2.150263448
262,2.1708066
263,2.178889363
264,2.154023633
265,2.134577517
266,2.139534374
267,2.113655983
268,2.158936452
269,2.16436094
270,2.174345223
271,2.198347066
272,2.177621382
273,2.20083501
274,2.211252532
275,2.176762176
276,2.142134135
277,2.11650433
278,2.142558042
279,2.160683673
280,2.156858605
281,2.153401844
282,2.109785772
283,2.083221509
284,2.0626711
285,2.076053458
286,2.06685009
287,2.08612997
288,2.076872881
289,2.05467808
290,2.046575329
291,2.012554696
292,2.035667706
293,1.997081126
294,1.989303534
295,1.996602878
296,1.969087357
297,1.94796586
298,1.9397443
299,1.937444923
300,1.948123078
301,1.993161706
302,2.030829273
303,2.034645718
304,2.050547222
305,2.06676683
306,2.073055863
307,2.070479186
308,2.083367688
309,2.058799577
310,2.064127221
311,2.084644875
312,2.065814103
313,2.057038132
314,2.094973108
315,2.083954315
316,2.080192333
